"","key","is.missing","num.missing"
"1","q3_increasewhenopen_specify",TRUE,98
"2","q6_radio_pp_yes",TRUE,95
"3","q6_radio_us_yes",TRUE,95
"4","q7_paper_yes_pp",TRUE,95
"5","q7_radio_yes_pp",TRUE,95
"6","q6_radio_ls_yes",TRUE,93
"7","q7_radio_yes_us",TRUE,93
"8","q7_radio_yes_ls",TRUE,92
"9","q7_radio_yes_p",TRUE,92
"10","q7_tv_yes_pp",TRUE,92
"11","q7_online_yes_pp",TRUE,90
"12","q7_paper_yes_ls",TRUE,86
"13","q7_paper_yes_p",TRUE,86
"14","q7_paper_yes_us",TRUE,86
"15","q6_radio_p_yes",TRUE,85
"16","q7_tv_yes_p",TRUE,85
"17","q7_tv_yes_us",TRUE,84
"18","q6_tv_pp_yes",TRUE,83
"19","q7_tv_yes_ls",TRUE,83
"20","q7_online_yes_p",TRUE,78
"21","q7_online_yes_ls",TRUE,76
"22","q7_online_yes_us",TRUE,74
"23","q6_tv_p_yes",TRUE,69
"24","q6_tv_ls_yes",TRUE,63
"25","q6_tv_us_yes",TRUE,61
